dataset_id,file,reason
2,2.arff,"C value not in ('C ', 'H ', 'G')"
7,7.arff,class with <2 instances
42,42.arff,"same-lst-sev-yrs value not in ('diff-lst-year', 'same-lst-yr', 'same-lst-two-yrs', ' same-lst-sev-yrs')"
52,52.arff,too few rows after target cleanup
163,163.arff,too few rows after target cleanup
171,171.arff,class with <2 instances
183,183.arff,class with <2 instances
186,186.arff,class with <2 instances
190,190.arff,class with <2 instances
191,191.arff,class with <2 instances
192,192.arff,class with <2 instances
193,193.arff,class with <2 instances
195,195.arff,class with <2 instances
196,196.arff,class with <2 instances
199,199.arff,class with <2 instances
200,200.arff,class with <2 instances
202,202.arff,class with <2 instances
203,203.arff,class with <2 instances
204,204.arff,class with <2 instances
206,206.arff,class with <2 instances
207,207.arff,class with <2 instances
208,208.arff,too few rows after target cleanup
209,209.arff,class with <2 instances
210,210.arff,class with <2 instances
211,211.arff,too few rows after target cleanup
212,212.arff,class with <2 instances
213,213.arff,class with <2 instances
214,214.arff,class with <2 instances
217,217.arff,class with <2 instances
222,222.arff,class with <2 instances
223,223.arff,class with <2 instances
224,224.arff,class with <2 instances
226,226.arff,too few rows after target cleanup
228,228.arff,class with <2 instances
229,229.arff,class with <2 instances
230,230.arff,class with <2 instances
232,232.arff,class with <2 instances
339,339.arff,too few rows after target cleanup
343,343.arff,class with <2 instances
402,402.arff,too few rows after target cleanup
403,403.arff,too few rows after target cleanup
404,404.arff,too few rows after target cleanup
406,406.arff,too few rows after target cleanup
408,408.arff,too few rows after target cleanup
409,409.arff,class with <2 instances
411,411.arff,too few rows after target cleanup
412,412.arff,too few rows after target cleanup
413,413.arff,too few rows after target cleanup
414,414.arff,too few rows after target cleanup
415,415.arff,too few rows after target cleanup
417,417.arff,too few rows after target cleanup
419,419.arff,too few rows after target cleanup
421,421.arff,too few rows after target cleanup
423,423.arff,too few rows after target cleanup
424,424.arff,class with <2 instances
425,425.arff,too few rows after target cleanup
426,426.arff,too few rows after target cleanup
427,427.arff,too few rows after target cleanup
428,428.arff,too few rows after target cleanup
429,429.arff,too few rows after target cleanup
431,431.arff,too few rows after target cleanup
432,432.arff,too few rows after target cleanup
433,433.arff,too few rows after target cleanup
434,434.arff,class with <2 instances
435,435.arff,too few rows after target cleanup
436,436.arff,too few rows after target cleanup
437,437.arff,too few rows after target cleanup
438,438.arff,too few rows after target cleanup
440,440.arff,too few rows after target cleanup
441,441.arff,too few rows after target cleanup
442,442.arff,too few rows after target cleanup
443,443.arff,class with <2 instances
453,453.arff,class with <2 instances
456,456.arff,class with <2 instances
457,457.arff,too few rows after target cleanup
462,462.arff,too few rows after target cleanup
477,477.arff,class with <2 instances
482,482.arff,class with <2 instances
483,483.arff,too few rows after target cleanup
485,485.arff,class with <2 instances
486,486.arff,too few rows after target cleanup
